MS_system,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLineInactive
Basilisk,org.dicegroup.basilisk.repositoryService.model.repo.docker,0.0,3.0,61.0,19.0,42.0,0.0,22.0,22.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,,,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,,39.0,0.0,,19.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.model.repo.docker.api,1.0,3.0,460.0,80.0,380.0,0.0,179.0,115.0,67.0,,"0,00",4.0,0.0,4.0,0.0,,,,,3.0,0.0,0.0,,,64.0,32.0,64.0,,0.0,0.0,0.0,64.0,,249.0,69.0,,112.0,1.0,,0.0,,,64.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.model.repo.git,0.0,2.0,44.0,12.0,32.0,0.0,20.0,20.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,,,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,,30.0,0.0,,18.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.repositories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.repositories.benchmarking,0.0,6.0,65.0,20.0,45.0,0.0,33.0,33.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,,,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,39.0,0.0,,27.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.repositories.repo,0.0,6.0,72.0,25.0,47.0,0.0,38.0,38.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,,,4.0,0.0,4.0,,4.0,0.0,0.0,0.0,,41.0,0.0,,32.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.services.benchmarking,1.0,4.0,344.0,75.0,264.0,5.0,188.0,114.0,94.0,,"0,02",7.0,0.0,6.0,0.0,,,,,4.0,0.0,0.0,,,33.0,13.0,33.0,,0.0,3.0,0.0,30.0,,123.0,119.0,,140.0,3.0,,2.0,,,45.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.services.repo,1.0,2.0,103.0,26.0,77.0,0.0,58.0,36.0,26.0,,"0,00",5.0,0.0,5.0,0.0,,,,,2.0,0.0,0.0,,,11.0,4.0,11.0,,0.0,0.0,0.0,11.0,,38.0,26.0,,41.0,3.0,,2.0,,,15.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.services.repo.checkingService,2.0,2.0,123.0,27.0,94.0,2.0,63.0,42.0,31.0,,"0,02",16.0,2.0,13.0,0.0,,,,,2.0,0.0,0.0,,,6.0,5.0,6.0,,1.0,3.0,0.0,2.0,,47.0,48.0,,48.0,3.0,,2.0,,,11.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.services.repo.checkingService.git,2.0,4.0,230.0,58.0,166.0,6.0,120.0,86.0,45.0,,"0,04",8.0,1.0,7.0,0.0,,,,,4.0,0.0,1.0,,,17.0,3.0,17.0,,0.0,2.0,8.0,7.0,,90.0,60.0,,91.0,3.0,,2.0,,,24.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.services.repo.continuesCheckingServices,1.0,1.0,57.0,10.0,47.0,0.0,33.0,19.0,14.0,,"0,00",8.0,1.0,7.0,0.0,,,,,1.0,0.0,0.0,,,4.0,6.0,4.0,,0.0,0.0,0.0,4.0,,27.0,14.0,,27.0,2.0,,1.0,,,5.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.web.controllers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.web.controllers.benchmarking,1.0,4.0,266.0,52.0,214.0,0.0,148.0,101.0,59.0,,"0,00",5.0,0.0,5.0,0.0,,,,,4.0,0.0,0.0,,,29.0,8.0,29.0,,0.0,9.0,0.0,20.0,,125.0,63.0,,110.0,2.0,,1.0,,,34.0,,,,,,,,,,,,,
