source,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,WMC,Ci,Di,Fin,Fout,IOVars,MCLC,NBD,NCOMP,NOP,NVAR,Si,VG,DMS,I,AHF,AIF,LCOM*,NMIR,PF
org.flowant.website.registry,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.flowant.authserver,0.0,200.0,0.0,5.0,5.0,0.0,0.166666667,4.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
org.flowant.website,0.0,200.0,3.0,1.0,3.0,0.0,0.75,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.25,,,,,
org.flowant.website.controller,0.0,0.0,1.0,0.0,3.0,0.0,1.4,7.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
org.flowant.website.repository,0.52173913,460.869565217,1.0,42.0,46.0,24.0,3.729567487,555.705555556,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.498483316,0.976744186,,,,,
org.flowant.website.repository.devutil,0.0,0.0,4.0,0.0,1.0,0.0,1.1,5.5,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
org.flowant.gateway,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.flowant.website.gateway,0.0,0.0,0.0,0.0,2.0,0.0,1.333333333,4.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.flowant.website.event,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.flowant.website.integration,0.0,3400.0,0.0,1.0,1.0,0.0,137.857142857,965.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
org.flowant.website.model,0.175,237.5,53.0,10.0,40.0,7.0,4.419517103,313.785714286,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666269841,0.158730159,,,,,
org.flowant.website.util,0.0,25.0,23.0,0.0,4.0,0.0,8.2,41.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
org.flowant.website.util.test,0.0,445.454545455,19.0,9.0,11.0,0.0,2.738709677,169.8,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678571429,0.321428571,,,,,
io.javabrains.moviecatalogservice,0.0,0.0,0.0,0.0,2.0,0.0,0.666666667,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
io.javabrains.moviecatalogservice.models,0.0,25.0,1.0,0.0,4.0,0.0,1.32,33.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
io.javabrains.moviecatalogservice.resources,0.0,400.0,0.0,1.0,1.0,0.0,25.333333333,25.333333333,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
io.javabrains.movieinfoservice,0.0,0.0,0.0,0.0,2.0,0.0,0.666666667,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
io.javabrains.movieinfoservice.models,0.0,0.0,1.0,0.0,2.0,0.0,1.230769231,16.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
