MS_system,Microservice,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineCodeDecl,CountLineCodeExe,CountSemicolon,SumCyclomatic,PackageSumCa,PackageSumCe,PackageSumNOC,PackageSumNOI,PackageSumPkgRCi,PackageSumPkgTCi,PackageSumTLOC,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centralty,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality
java-microservice,mailer,8.0,327.0,72.0,222.0,33.0,150.0,110.0,46.0,9.0,1.0,0.0,0.0,32.0,15.0,33.0,0.0,0.0,0.0,33.0,137.0,53.0,109.0,34.0,,,,,,,,0.5454545454545454,0.3636363636363636,0.1818181818181818,7.063001222794096e-05,0.409090909090909,0.0194805194805194,0.0194805194805194,5.0,0.2217826678204971,0.136595385291037,83.25339139778572
jhipster-microservices-example,blog,115.0,10443.0,1728.0,7664.0,1237.0,4868.0,2958.0,2449.0,117.0,25.0,77.0,0.0,667.0,266.0,692.0,22.0,29.0,3.0,638.0,3913.0,3526.0,3951.0,835.0,,,,,,,,0.75,0.5,0.25,0.508792420940552,0.6666666666666666,0.0,0.0,3.0,0.2142857142857143,0.1666666666666666,3.3733790974581153
jhipster-microservices-example,jhipster-registry,68.0,3710.0,677.0,2737.0,317.0,1950.0,1195.0,937.0,63.0,10.0,28.0,0.0,226.0,95.0,236.0,6.0,21.0,3.0,206.0,1419.0,1182.0,1577.0,318.0,25.0,21.0,62.0,1.0,58.216014243,1846.433333333,1776.0,2.0,1.0,1.0,0.6344553044127323,0.8,0.5833333333333333,0.5833333333333333,3.5,0.3,1.4444444444444449,9.163432143784515
jhipster-microservices-example,store,57.0,3373.0,593.0,2399.0,395.0,1576.0,1040.0,673.0,56.0,19.0,35.0,0.0,224.0,81.0,243.0,2.0,12.0,3.0,226.0,1307.0,932.0,1221.0,308.0,,,,,,,,0.5,0.25,0.25,0.2823597200194308,0.5,0.0,0.0,2.333333333333333,0.1578947368421052,0.0,2.043236098749623
microservice,catalog,22.0,1124.0,259.0,865.0,6.0,589.0,421.0,208.0,26.0,4.0,0.0,0.0,108.0,38.0,112.0,4.0,6.0,2.0,100.0,542.0,232.0,455.0,114.0,,,,,,,,0.5,0.3333333333333333,0.1666666666666666,0.3922322997143608,0.5,0.0222222222222222,0.0222222222222222,3.6666666666666665,0.2,0.151111111111111,7.921313578931372
microservice,customer,20.0,1324.0,296.0,1028.0,6.0,682.0,458.0,276.0,24.0,4.0,0.0,0.0,128.0,46.0,132.0,2.0,6.0,2.0,122.0,599.0,336.0,524.0,140.0,,,,,,,,0.5,0.3333333333333333,0.1666666666666666,0.3922322997143608,0.5,0.0222222222222222,0.0222222222222222,3.6666666666666665,0.2,0.1511111111111111,7.921313578931372
microservice,eureka,2.0,52.0,11.0,41.0,2.0,27.0,24.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,33.0,9.0,22.0,3.0,0.0,0.0,2.0,0.0,0.333333333,1.0,17.0,0.8333333333333333,0.6666666666666666,0.1666666666666666,0.5883481051461716,0.6666666666666666,0.5,0.5,4.833333333333334,0.2419354838709677,0.488888888888889,12.111481148189869
microservice,order,80.0,4177.0,828.0,3170.0,192.0,2186.0,1495.0,821.0,87.0,13.0,13.0,0.0,343.0,199.0,356.0,6.0,19.0,4.0,327.0,1894.0,950.0,1715.0,399.0,,,,,,,,1.0,0.3333333333333333,0.6666666666666666,0.3922322997143608,0.4285714285714285,0.0222222222222222,0.0222222222222222,3.0,0.2205882352941176,0.8311111111111112,17.026730497235754
microservice,turbine,1.0,19.0,4.0,15.0,0.0,9.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.1666666666666666,0.0,0.1666666666666666,7.65389710150298e-08,0.0,0.0,0.0,0.0,0.1094890510948904,0.0,1.961986746388154
microservice,zuul,1.0,15.0,4.0,11.0,0.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.3333333333333333,0.6666666666666666,0.3922323762533319,0.6,0.6333333333333333,0.6333333333333333,4.0,0.2419354838709676,0.4888888888888892,12.111481148189878
