MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Violations,Code smells,Major violations,SQ maintainability remediation effort,Minor violations,Duplicated blocks,Critical violations,Avg(Security rating),Security remediation effort,SQ security remediation effort,Max(Security rating)
sample-spring-microservices-new,employee-service,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.4083148800996026,0.6428571428571428,0.0218253968253968,0.0218253968253968,5.0,0.3193916349809886,0.1746031746031745,41.12059630562399,5.0,5.0,0.0,18.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0
sample-spring-microservices-new,organization-service,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.1746668274065739,0.4285714285714285,0.0218253968253968,0.0218253968253968,3.6666666666666665,0.3193916349809886,0.1746031746031748,41.12059630562408,2.0,2.0,0.0,20.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0
spring-boot-microservices-workshop,movie-catalog-service,1.0,0.0,1.0,1.989329237967547e-06,0.0,0.0,0.0,0.0,0.5714285714285714,0.4166666666666667,4.248218608460323,6.0,6.0,4.0,32.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0
spring-boot-microservices-workshop,ratings-data-service,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0014104344297189,0.3333333333333333,0.0,0.0,1.0,0.4444444444444444,0.1666666666666666,3.0185860343596342,2.0,2.0,2.0,20.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-admin-order-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250302799927257,0.0096182941256046,6.432437117634174,38.0,38.0,18.0,162.0,16.0,6.0,4.0,1.0,0.0,0.0,1.0
train-ticket,ts-admin-route-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250017513704815,0.021394377357158,6.036703763488904,22.0,22.0,10.0,86.0,10.0,8.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-admin-travel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0351279071592275,0.0521402604520418,35.79718626177077,30.0,30.0,2.0,98.0,24.0,8.0,4.0,1.0,0.0,0.0,1.0
train-ticket,ts-assurance-service,0.0571428571428571,0.0571428571428571,0.0,1.679206121358046e-10,0.0571428571428571,0.0,0.0,2.0,0.0257565554155704,0.0068873098756474,8.981459248546614,38.0,34.0,38.0,170.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-cancel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0334791737192094,0.1710208893113879,14.872778211740506,36.0,36.0,16.0,192.0,14.0,6.0,4.0,1.0,0.0,0.0,1.0
train-ticket,ts-config-service,0.0571428571428571,0.0571428571428571,0.0,0.0038458280868001,0.1503105590062111,0.0,0.0,5.999999999999999,0.0247141119197419,0.0247141502020539,5.094163862480831,2.0,2.0,0.0,16.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-consign-price-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0139227157899016,0.0,1.7625693155731017,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-consign-service,0.0857142857142857,0.0571428571428571,0.0285714285714285,1.679206121358046e-10,0.0571428571428571,0.0016806722689075,0.0016806722689075,2.0,0.026437494199981,0.0638170468397428,9.958915942203546,54.0,54.0,50.0,258.0,4.0,8.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-contacts-service,0.0857142857142857,0.0857142857142857,0.0,2.5181628363398655e-10,0.0857142857142857,0.0,0.0,3.0,0.0302833153731375,0.0451079623333519,11.962054753755886,12.0,10.0,4.0,32.0,8.0,10.0,0.0,1.0,0.0,0.0,1.0
