MS_system,Package,SQ reliability remediation effort,Security rating,Critical violations,Violations,Sqale rating,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Reliability rating,Code smells,SQ security remediation effort,Bugs,Major violations
spring-boot-microservices,com.rohitghatol.microservices.user.apis,0,1.0,0,0,1.0,3,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.comments,0,1.0,1,2,1.0,21,1,0,0,11,0,0,2,0,1.0,2,0,0,0
spring-boot-microservices,com.rohitghatol.microservice.auth.config,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.task.config,0,1.0,1,1,1.0,0,0,0,0,10,0,0,0,0,1.0,1,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.comments.config,0,1.0,1,1,1.0,0,0,0,0,10,0,0,0,0,1.0,1,0,0,0
spring-boot-microservices,com.rohitghatol.microservice.gateway.config,0,1.0,3,3,1.0,7,0,0,0,38,0,0,0,0,1.0,3,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.user.config,0,1.0,1,1,1.0,0,0,0,0,10,0,0,0,0,1.0,1,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.user.dto,0,1.0,0,1,1.0,23,0,1,0,0,0,0,1,0,1.0,1,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.task.dtos,0,1.0,0,1,1.0,25,0,1,0,0,0,0,1,0,1.0,1,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.comments.dtos,0,1.0,0,0,1.0,18,0,0,0,0,0,0,2,0,1.0,0,0,0,0
spring-boot-microservices,com.rohitghatol.microservice.auth,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices,com.rohitghatol.microservice.gateway,0,1.0,3,3,1.0,7,0,0,0,38,0,0,0,0,1.0,3,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.config,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
