MS_system,Microservice,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality,CountDeclMethodProtected,CountLineComment,MethodAvg_IOVars,CountLineCodeExe,MethodMax_Si,ClassAvg_NF,CountStmtExe,ClassAvg_Ad,ClassAvg_Aa,ClassSum_HMd,ClassSum_RTLOC,CountSemicolon,PackageSum_TLOC,CountLineCode,CountStmt,ClassAvg_NM,ClassAvg_NOL,CountDeclClassMethod,CountStmtDecl,CountLine,CountLineCodeDecl,ClassAvg_Md,ClassSum_NOL,ClassSum_NSM,ClassAvg_HMd,CountDeclMethodPrivate,CountDeclClassVariable,ClassSum_NSF,CountDeclClass,ClassAvg_Ma,ClassSum_NPM,CountDeclMethodPublic,ClassSum_PMd,ClassAvg_NSM,CountDeclMethodDefault
sample-spring-cloud-webflux,gateway-service,1.25,0.5,0.75,0.5732796446078026,0.6666666666666666,0.8333333333333333,0.8333333333333333,3.0,0.3636363636363636,0.7083333333333334,5.207349760392519,0.0,1.0,1.375,26.0,0.0,0.6,19.0,0.6,0.6,2.0,86.0,70.0,44.0,120.0,83.0,1.6,0.4,2.0,70.0,149.0,88.0,1.6,2.0,2.0,0.4,0.0,1.0,1.0,5.0,1.6,6.0,6.0,6.0,0.4,2.0
sample-spring-microservices-new,department-service,0.8571428571428571,0.4285714285714285,0.4285714285714285,0.2670565257652674,0.5142857142857142,0.0218253968253968,0.0218253968253968,4.333333333333333,0.3193916349809886,0.1746031746031746,41.12059630562406,0.0,0.0,1.1363636363636365,91.0,9.0,1.875,85.0,1.875,1.875,10.0,303.0,149.0,199.0,295.0,200.0,5.5,1.625,1.0,130.0,375.0,167.0,5.375,13.0,1.0,1.25,0.0,2.0,2.0,8.0,5.375,28.0,33.0,33.0,0.125,11.0
sample-spring-microservices-new,employee-service,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.4083148800996026,0.6428571428571428,0.0218253968253968,0.0218253968253968,5.0,0.3193916349809886,0.1746031746031748,41.12059630562399,0.0,0.0,1.0810810810810811,91.0,9.0,1.8333333333333333,83.0,1.8333333333333333,1.8333333333333333,11.0,270.0,135.0,177.0,265.0,178.0,6.166666666666667,1.3333333333333333,1.0,109.0,329.0,144.0,6.166666666666667,8.0,1.0,1.8333333333333333,0.0,2.0,2.0,6.0,6.166666666666667,24.0,26.0,26.0,0.1666666666666666,11.0
sample-spring-microservices-new,organization-service,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.1746668274065739,0.4285714285714285,0.0218253968253968,0.0218253968253968,3.666666666666667,0.3193916349809886,0.1746031746031745,41.12059630562408,0.0,0.0,1.1886792452830188,92.0,4.0,1.9,89.0,1.9,1.9,4.0,343.0,167.0,225.0,332.0,227.0,5.3,1.5,1.0,154.0,433.0,195.0,5.0,15.0,1.0,0.4,0.0,2.0,2.0,10.0,5.0,42.0,48.0,46.0,0.1,5.0
spring-boot-microservices-workshop,movie-catalog-service,1.0,0.0,1.0,1.989329237967547e-06,0.0,0.0,0.0,0.0,0.5714285714285714,0.4166666666666667,4.248218608460323,0.0,6.0,1.2758620689655171,37.0,25.0,1.7142857142857142,34.0,1.7142857142857142,1.7142857142857142,0.0,173.0,79.0,116.0,166.0,115.0,3.7142857142857144,0.7142857142857143,1.0,83.0,225.0,95.0,4.142857142857143,5.0,1.0,0.0,0.0,0.0,0.0,7.0,4.142857142857143,24.0,29.0,29.0,0.1428571428571428,0.0
spring-boot-microservices-workshop,ratings-data-service,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0014104344297189,0.3333333333333333,0.0,0.0,1.0,0.4444444444444444,0.1666666666666666,3.0185860343596342,0.0,0.0,1.2142857142857142,20.0,0.0,0.8,17.0,0.8,0.8,0.0,91.0,40.0,59.0,90.0,59.0,2.8,0.6,1.0,43.0,121.0,52.0,2.8,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.8,13.0,14.0,14.0,0.2,0.0
train-ticket,ts-admin-order-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250302799927257,0.0096182941256047,6.432437117634174,1.0,78.0,0.8518518518518519,350.0,0.0,2.2222222222222223,226.0,2.2222222222222223,2.2222222222222223,2.0,710.0,375.0,373.0,705.0,440.0,6.0,1.2222222222222223,1.0,321.0,883.0,415.0,5.555555555555555,11.0,1.0,0.2222222222222222,1.0,2.0,2.0,16.0,5.555555555555555,48.0,49.0,48.0,0.1111111111111111,4.0
train-ticket,ts-admin-route-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250017513704814,0.021394377357158,6.036703763488904,1.0,61.0,1.4230769230769231,147.0,0.0,2.142857142857143,91.0,2.142857142857143,2.142857142857143,2.0,354.0,185.0,170.0,363.0,226.0,3.7142857142857144,0.7142857142857143,1.0,172.0,478.0,220.0,3.2857142857142856,5.0,1.0,0.2857142857142857,1.0,2.0,2.0,10.0,3.2857142857142856,21.0,22.0,21.0,0.1428571428571428,3.0
train-ticket,ts-admin-travel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0351279071592275,0.052140260452042,35.79718626177077,1.0,81.0,1.375,368.0,0.0,1.8571428571428572,240.0,1.8571428571428572,1.8571428571428572,3.0,663.0,339.0,370.0,643.0,403.0,5.714285714285714,0.7142857142857143,1.0,265.0,795.0,328.0,5.142857142857143,5.0,1.0,0.4285714285714285,2.0,2.0,2.0,14.0,5.142857142857143,33.0,34.0,33.0,0.1428571428571428,4.0
train-ticket,ts-assurance-service,0.0571428571428571,0.0571428571428571,0.0,1.679206121358046e-10,0.0571428571428571,0.0,0.0,2.0,0.0257565554155704,0.0068873098756474,8.981459248546614,1.0,210.0,1.4696969696969695,283.0,0.0,2.0,237.0,2.0,2.0,1.0,811.0,398.0,407.0,722.0,489.0,5.5,1.0833333333333333,2.0,324.0,1082.0,431.0,4.416666666666667,13.0,1.0,0.0833333333333333,0.0,2.0,2.0,14.0,4.416666666666667,49.0,59.0,52.0,0.0833333333333333,17.0
train-ticket,ts-cancel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0334791737192094,0.1710208893113869,14.872778211740506,1.0,88.0,1.6216216216216215,358.0,0.0,1.9,233.0,1.9,1.9,7.0,667.0,341.0,374.0,642.0,406.0,3.7,0.5,2.0,269.0,824.0,327.0,3.5,5.0,2.0,0.7,6.0,2.0,2.0,21.0,3.5,25.0,29.0,28.0,0.2,2.0
