MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Cognitive complexity,Avg(NORM),Sum(NORM),Avg(DIT),Max(DIT),Avg(SIX),Sum(SIX),Avg(VG),Sum(VG),Max(VG),Avg(Fin),Sum(Fin),Max(Fin),Avg(Fout),Sum(Fout),Max(Fout),Sum(WMC),Max(WMC),Avg(LCOM*),Max(LCOM*),Sum(LCOM*),Avg(Si),Sum(Si),Max(Si),Sum(NMA),Avg(NOA),Sum(NOA),Avg(NOCh),Sum(NOCh),Avg(NOD),Sum(NOD),Avg(NOPa),Sum(NOPa),Avg(NBD),Max(NBD),Avg(MCLC),Sum(MCLC),Max(MCLC),Sum(Ca),Sum(Ce)
train-ticket,ts-admin-order-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250302799927257,0.0096182941256046,6.432437117634174,26.0,0.4444444444444444,4.0,1.1111111111111112,2.0,0.1777777777777777,1.6,1.148148148148148,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,13.0,0.3513347763333334,0.583333333,2.108008658,0.0,0.0,0.0,50.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0925925925925926,2.0,0.4074074074074074,22.0,6.0,2.0,4.0
train-ticket,ts-admin-route-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250017513704815,0.021394377357158,6.036703763488904,22.0,0.4285714285714285,3.0,1.1428571428571428,2.0,0.1714285714285714,1.2,1.3461538461538465,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,14.0,0.4930555555,0.583333333,1.972222222,0.0,0.0,0.0,23.0,0.1428571428571428,1.0,0.1428571428571428,1.0,0.1428571428571428,1.0,0.1428571428571428,1.0,1.1923076923076923,2.0,1.0769230769230769,28.0,10.0,2.0,2.0
train-ticket,ts-admin-travel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0351279071592275,0.0521402604520418,35.79718626177077,62.0,0.5714285714285714,4.0,1.1428571428571428,2.0,0.126984127,0.888888889,1.575,63.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,32.0,0.3625,0.5,1.45,0.0,0.0,0.0,36.0,0.1428571428571428,1.0,0.1428571428571428,1.0,0.1428571428571428,1.0,0.1428571428571428,1.0,1.2,2.0,1.55,62.0,11.0,2.0,2.0
train-ticket,ts-assurance-service,0.0571428571428571,0.0571428571428571,0.0,1.679206121358046e-10,0.0571428571428571,0.0,0.0,2.0,0.0257565554155704,0.0068873098756474,8.981459248546614,54.0,0.6666666666666666,8.0,1.0833333333333333,2.0,0.1818181818181818,2.0,1.1666666666666667,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,19.0,0.2179232803333333,0.666666667,1.307539682,0.0,0.0,0.0,58.0,0.0833333333333333,1.0,0.0833333333333333,1.0,0.0833333333333333,1.0,0.0833333333333333,1.0,1.1666666666666667,3.0,0.3636363636363636,24.0,4.0,9.0,6.0
train-ticket,ts-cancel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0334791737192094,0.1710208893113879,14.872778211740506,134.0,0.2,2.0,1.1,2.0,0.0333333333,0.333333333,1.648648648648649,61.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,36.0,0.48024891775,0.659090909,1.920995671,0.0,0.0,0.0,35.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,1.351351351351351,6.0,1.891891891891892,70.0,23.0,2.0,2.0
train-ticket,ts-config-service,0.0571428571428571,0.0571428571428571,0.0,0.0038458280868001,0.1503105590062111,0.0,0.0,5.999999999999999,0.0247141119197419,0.0247141502020539,5.094163862480831,22.0,0.5,5.0,1.1,2.0,0.2,2.0,1.1333333333333333,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.0,0.3694444445,1.0,2.216666667,0.0,0.0,0.0,40.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,1.1333333333333333,2.0,0.4222222222222222,19.0,5.0,12.0,7.0
train-ticket,ts-consign-price-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0139227157899016,0.0,1.7625693155731017,14.0,0.4,4.0,1.1,2.0,0.2,2.0,1.0857142857142856,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,0.4352380952,1.0,2.176190476,0.0,0.0,0.0,31.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,1.1142857142857143,3.0,0.3142857142857143,11.0,9.0,12.0,7.0
train-ticket,ts-consign-service,0.0857142857142857,0.0571428571428571,0.0285714285714285,1.679206121358046e-10,0.0571428571428571,0.0016806722689075,0.0016806722689075,2.0,0.026437494199981,0.0638170468397428,9.958915942203546,22.0,0.3846153846153846,5.0,1.0769230769230769,2.0,0.1515151515454545,1.666666667,1.1521739130434785,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,13.0,0.2537037038333333,0.6,1.522222223,0.0,0.0,0.0,41.0,0.0769230769230769,1.0,0.0769230769230769,1.0,0.0769230769230769,1.0,0.0769230769230769,1.0,1.108695652173913,2.0,0.6521739130434783,30.0,8.0,12.0,7.0
train-ticket,ts-contacts-service,0.0857142857142857,0.0857142857142857,0.0,2.5181628363398655e-10,0.0857142857142857,0.0,0.0,3.0,0.0302833153731375,0.0451079623333519,11.962054753755886,42.0,0.7,7.0,1.1,2.0,0.2,2.0,1.2542372881355932,74.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,14.0,0.3776862025999999,1.0,1.888431013,0.0,0.0,0.0,52.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,1.1355932203389831,2.0,0.4915254237288136,29.0,9.0,12.0,7.0
train-ticket,ts-food-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0042016806722689,0.0042016806722689,2.0,0.0327965999849843,0.1947760160155597,20.7789804017349,162.0,0.5714285714285714,12.0,1.0952380952380951,2.0,0.1785714285714285,3.75,1.432098765432099,116.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,33.0,0.482674319625,1.0,3.861394557,0.0,0.0,0.0,69.0,0.0952380952380952,2.0,0.0952380952380952,2.0,0.0952380952380952,2.0,0.0952380952380952,2.0,1.2962962962962965,5.0,0.8395061728395061,68.0,27.0,25.0,12.0
train-ticket,ts-inside-payment-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0021008403361344,0.0021008403361344,2.0,0.0334042231488389,0.1262893132236247,17.075194382666115,120.0,0.4736842105263157,9.0,1.0526315789473684,2.0,0.0789473684210526,1.5,1.382716049382716,112.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,40.0,0.3062121212,0.522727273,1.531060606,0.0,0.0,0.0,72.0,0.0526315789473684,1.0,0.0526315789473684,1.0,0.0526315789473684,1.0,0.0526315789473684,1.0,1.2345679012345678,4.0,0.8765432098765432,71.0,21.0,15.0,9.0
train-ticket,ts-notification-service,0.0571428571428571,0.0285714285714285,0.0285714285714285,8.402494063762365e-11,0.0285714285714285,0.0008403361344537,0.0008403361344537,1.0,0.0161631010966359,0.057142857142858,2.6013917891190386,12.0,0.25,4.0,1.0625,2.0,0.1333333333333333,2.0,1.0192307692307692,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,9.0,0.4210978836666667,0.857142857,2.5265873020000003,0.0,0.0,0.0,48.0,0.0625,1.0,0.0625,1.0,0.0625,1.0,0.0625,1.0,1.1153846153846154,2.0,0.0576923076923076,3.0,2.0,15.0,9.0
train-ticket,ts-order-service,0.2571428571428571,0.2285714285714285,0.0285714285714285,0.0038459373189644,0.2571428571428571,0.0035714285714285,0.003641456582633,11.0,0.0403513917313028,0.1993790080243659,53.16418552382257,200.0,1.5,18.0,1.0833333333333333,2.0,0.1428571428333333,1.714285714,1.4744525547445255,202.0,18.0,0.0875912408759124,12.0,5.0,0.0875912408759124,12.0,8.0,202.0,68.0,0.5671154572857143,1.0,3.969808201,0.5255474452554745,72.0,64.0,119.0,0.0833333333333333,1.0,0.0833333333333333,1.0,0.0833333333333333,1.0,0.0833333333333333,1.0,1.2262773722627738,10.0,0.7883211678832117,108.0,22.0,12.0,7.0
