MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Sum(RTLOC),Sum(TLOC),Sum(NOL),Sum(NSF),Avg(NF),CountStmtExe,Avg(Ad),Avg(Aa),Sum(PMd),Avg(NSM),Sum(NSM),Avg(HMd),Sum(HMd),Sum(NPM),CountSemicolon,CountLineCode,CountStmt,CountDeclClassMethod,CountStmtDecl,CountLine,CountDeclMethodPrivate,CountDeclClassVariable,CountDeclClass,CountDeclMethodPublic,CountDeclMethodDefault,CountDeclMethodProtected,CountLineComment,CountLineCodeExe,CountLineCodeDecl
train-ticket,ts-admin-order-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250302799927257,0.0096182941256046,6.432437117634174,710.0,373.0,11.0,2.0,2.2222222222222223,226.0,2.2222222222222223,2.2222222222222223,48.0,0.1111111111111111,1.0,0.2222222222222222,2.0,48.0,375.0,705.0,440.0,1.0,321.0,883.0,1.0,2.0,16.0,49.0,4.0,1.0,78.0,350.0,415.0
train-ticket,ts-admin-route-service,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250017513704815,0.021394377357158,6.036703763488904,354.0,170.0,5.0,2.0,2.142857142857143,91.0,2.142857142857143,2.142857142857143,21.0,0.1428571428571428,1.0,0.2857142857142857,2.0,21.0,185.0,363.0,226.0,1.0,172.0,478.0,1.0,2.0,10.0,22.0,3.0,1.0,61.0,147.0,220.0
train-ticket,ts-admin-travel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0351279071592275,0.0521402604520418,35.79718626177077,663.0,370.0,5.0,2.0,1.8571428571428572,240.0,1.8571428571428572,1.8571428571428572,33.0,0.1428571428571428,1.0,0.4285714285714285,3.0,33.0,339.0,643.0,403.0,1.0,265.0,795.0,2.0,2.0,14.0,34.0,4.0,1.0,81.0,368.0,328.0
train-ticket,ts-assurance-service,0.0571428571428571,0.0571428571428571,0.0,1.679206121358046e-10,0.0571428571428571,0.0,0.0,2.0,0.0257565554155704,0.0068873098756474,8.981459248546614,811.0,407.0,13.0,2.0,2.0,237.0,2.0,2.0,52.0,0.0833333333333333,1.0,0.0833333333333333,1.0,49.0,398.0,722.0,489.0,2.0,324.0,1082.0,0.0,2.0,14.0,59.0,17.0,1.0,210.0,283.0,431.0
train-ticket,ts-cancel-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0334791737192094,0.1710208893113879,14.872778211740506,667.0,374.0,5.0,2.0,1.9,233.0,1.9,1.9,28.0,0.2,2.0,0.7,7.0,25.0,341.0,642.0,406.0,2.0,269.0,824.0,6.0,2.0,21.0,29.0,2.0,1.0,88.0,358.0,327.0
train-ticket,ts-config-service,0.0571428571428571,0.0571428571428571,0.0,0.0038458280868001,0.1503105590062111,0.0,0.0,5.999999999999999,0.0247141119197419,0.0247141502020539,5.094163862480831,502.0,256.0,12.0,2.0,1.7,131.0,1.7,1.7,36.0,0.1,1.0,0.1,1.0,34.0,255.0,470.0,308.0,1.0,215.0,663.0,0.0,2.0,11.0,37.0,8.0,1.0,97.0,172.0,291.0
train-ticket,ts-consign-price-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0139227157899016,0.0,1.7625693155731017,426.0,222.0,12.0,4.0,2.1,114.0,2.1,2.1,29.0,0.1,1.0,0.1,1.0,28.0,241.0,427.0,285.0,1.0,203.0,584.0,0.0,4.0,11.0,30.0,5.0,1.0,80.0,149.0,273.0
train-ticket,ts-consign-service,0.0857142857142857,0.0571428571428571,0.0285714285714285,1.679206121358046e-10,0.0571428571428571,0.0016806722689075,0.0016806722689075,2.0,0.026437494199981,0.0638170468397428,9.958915942203546,659.0,316.0,14.0,2.0,3.230769230769231,161.0,3.230769230769231,3.230769230769231,35.0,0.0769230769230769,1.0,0.1538461538461538,2.0,33.0,339.0,588.0,395.0,1.0,291.0,864.0,1.0,2.0,18.0,36.0,9.0,1.0,162.0,215.0,381.0
train-ticket,ts-contacts-service,0.0857142857142857,0.0857142857142857,0.0,2.5181628363398655e-10,0.0857142857142857,0.0,0.0,3.0,0.0302833153731375,0.0451079623333519,11.962054753755886,665.0,355.0,12.0,2.0,1.9,207.0,1.9,1.9,46.0,0.1,1.0,0.1,1.0,45.0,342.0,628.0,416.0,2.0,271.0,886.0,0.0,2.0,12.0,52.0,13.0,1.0,133.0,254.0,372.0
train-ticket,ts-food-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0042016806722689,0.0042016806722689,2.0,0.0327965999849843,0.1947760160155597,20.7789804017349,1120.0,590.0,21.0,7.0,2.3333333333333335,315.0,2.3333333333333335,2.3333333333333335,55.0,0.0952380952380952,2.0,0.1904761904761904,4.0,51.0,583.0,1024.0,705.0,2.0,464.0,1421.0,2.0,7.0,26.0,57.0,22.0,2.0,161.0,403.0,592.0
train-ticket,ts-inside-payment-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0021008403361344,0.0021008403361344,2.0,0.0334042231488389,0.1262893132236247,17.075194382666115,1152.0,660.0,26.0,3.0,2.3157894736842106,411.0,2.3157894736842106,2.3157894736842106,61.0,0.2105263157894736,4.0,0.2631578947368421,5.0,55.0,614.0,1095.0,747.0,6.0,475.0,1538.0,4.0,3.0,24.0,72.0,21.0,1.0,218.0,498.0,623.0
